"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HasOptedOutOfEmail","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","Product_Areas__c","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
00040dcc-53b7-4664-98ec-d395784c1e76,971e37cc-0efd-4955-b4af-a634cc061f0b,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+633@gmail.com,"#N/A","#N/A",Blancha,false,"#N/A","#N/A",Jethro,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A","#N/A","Vice President, IT",Prodly,"#N/A","#N/A",false,false
0013a9a5-b75f-43c5-b50e-a4d1e9a99b4a,2b6aa8b6-49ce-4916-9cf6-764be82e912d,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+179@gmail.com,"#N/A","#N/A",Hannis,false,"#N/A","#N/A",Zedekiah,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 974-1346,"#N/A","#N/A","#N/A",Director,Prodly,"#N/A","#N/A",false,false
002d5b9f-dddf-4ee1-95a7-8d80f9c3411a,50256e72-2730-480e-827e-ab9881c24ce4,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+848@gmail.com,"#N/A","#N/A",Gilbertine,false,"#N/A","#N/A",Salmon,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4057,"#N/A","#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
003e48df-0d9c-4b3a-8518-a6e267fef0cc,971e37cc-0efd-4955-b4af-a634cc061f0b,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+168@gmail.com,"#N/A","#N/A",Anissa,false,"#N/A","#N/A",Edvard,"#N/A",BARTON BENDISH,UK,"#N/A","#N/A","#N/A",PE33 1YD,"#N/A",97 Gordon Terrace,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",81 4352 5277,"#N/A","#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
008203df-e1f7-4754-949c-a4504d33b8e4,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+663@gmail.com,"#N/A","#N/A",Darda,false,"#N/A","#N/A",Reinhard,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,32 Railway Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 3989,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
00cf281c-039b-4e0a-83aa-3915cc6ca244,"#N/A","#N/A","#N/A","#N/A","#N/A","John H. Hammergren is chairman, president and chief executive officer of McKesson Corporation. He was elected president and CEO in 2001 and chairman in 2002.",jmanningcongagdo+773@gmail.com,"#N/A","#N/A",Lilla,false,"#N/A","#N/A",Gael,"#N/A",Miami Gardens,USA,"#N/A","#N/A","#N/A",33056,FL,347 Don Shula Drive,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(235) 392-0037,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
00e411b1-23cb-4dd7-9ac6-6633e99e9196,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+445@gmail.com,"#N/A","#N/A",Linnet,false,"#N/A","#N/A",Alva,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(826) 246-3244,"#N/A","#N/A","#N/A","Executive Vice President, External Affairs",Prodly,"#N/A","#N/A",false,false
00ec3495-3349-46a5-b99a-ef70a03d4f24,844d17a8-8ad9-435e-9592-aa46a45cb665,Jenny Smith,123 098 7654,1972-06-15,Manufacturing - Floor,"Mr. Griffith is senior vice president and chief financial officer of Marathon Petroleum Corporation. He is a member of the boards of directors of MPLX GP LLC and the Marathon Center for the Performing Arts, where he serves on the finance committee. Mr. Griffith is chair of the investment committee for the Boy Scouts of America Black Swamp Council and treasurer of Berry Boy Scouts Inc.",jmanningcongagdo+267@gmail.com,"#N/A",(303) 234-5678,Lorain,false,(555) 666-8888,"#N/A",Gaspar,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,555 Corporate Ave.,(303) 123-4567,Broomfield,USA,"#N/A","#N/A","#N/A","#N/A",80021,CO,390 Interlocken Crescent #500,(974) 230-5869,"#N/A","#N/A","#N/A",SVP and CFO,Prodly,"#N/A","#N/A",false,false
0102e853-2424-4de3-8a25-e7ff969cf517,e4659328-6f27-4deb-a51f-6805895804e9,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+159@gmail.com,"#N/A","#N/A",Winifred,false,"#N/A","#N/A",Bartie,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(425)742-4489,"#N/A","#N/A","#N/A",SVP - Global Sales,Prodly,"#N/A","#N/A",false,false
010a549f-1ed1-4eea-8c5e-2098f9ca61e3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+637@gmail.com,"#N/A","#N/A",Agnola,false,"#N/A","#N/A",Antons,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+81 725 925939,"#N/A","#N/A","#N/A",CIO,Prodly,"#N/A","#N/A",false,false
